Scopus-160989-Analyze-Year

"Your query : (SUBJAREA ( (arts OR busi OR deci OR econ OR psyc OR soci) AND ener ))"


Number of results : 160989

"YEAR",
"2020","2679"
"2019","24180"
"2018","21687"
"2017","16609"
"2016","11794"
"2015","8064"
"2014","5689"
"2013","4901"
"2012","4940"
"2011","4256"
"2010","3698"
"2009","3582"
"2008","4901"
"2007","4401"
"2006","3701"
"2005","4219"
"2004","3705"
"2003","3457"
"2002","3795"
"2001","2313"
"2000","1903"
"1999","1624"
"1998","806"
"1997","899"
"1996","807"
"1995","752"
"1994","721"
"1993","637"
"1992","640"
"1991","584"
"1990","584"
"1989","500"
"1988","508"
"1987","397"
"1986","390"
"1985","453"
"1984","456"
"1983","474"
"1982","584"
"1981","458"
"1980","438"
"1979","335"
"1978","208"
"1977","206"
"1976","157"
"1975","134"
"1974","152"
"1973","118"
"1972","98"
"1971","103"
"1970","124"
"1969","96"
"1968","58"
"1967","59"
"1966","52"
"1965","72"
"1964","69"
"1963","71"
"1962","73"
"1961","93"
"1960","57"
"1959","69"
"1958","74"
"1957","60"
"1956","65"
"1955","61"
"1954","45"
"1953","43"
"1952","33"
"1951","33"
"1950","48"
"1949","16"
"1948","31"
"1947","26"
"1946","41"
"1945","23"
"1944","45"
"1943","49"
"1942","45"
"1941","47"
"1940","50"
"1939","50"
"1938","66"
"1937","46"
"1936","47"
"1935","58"
"1934","63"
"1933","55"
"1932","48"
"1931","50"
"1929","33"
"1928","48"
