Scopus-1848407-Analyze-Year

"Your query : (SUBJAREA (ener AND NOT (arts OR busi OR deci OR econ OR psyc OR soci)))"


Number of results : 1848407

"YEAR",
"2020","10639"
"2019","126294"
"2018","126607"
"2017","122690"
"2016","105331"
"2015","94457"
"2014","90601"
"2013","82972"
"2012","72644"
"2011","72107"
"2010","66653"
"2009","67293"
"2008","56640"
"2007","53812"
"2006","44133"
"2005","43795"
"2004","37536"
"2003","35163"
"2002","34691"
"2001","34024"
"2000","34989"
"1999","23006"
"1998","22175"
"1997","23116"
"1996","22040"
"1995","20536"
"1994","19285"
"1993","17299"
"1992","17496"
"1991","17361"
"1990","13973"
"1989","15388"
"1988","13299"
"1987","12715"
"1986","12542"
"1985","14888"
"1984","13169"
"1983","12429"
"1982","12876"
"1981","11386"
"1980","9841"
"1979","10707"
"1978","9235"
"1977","8725"
"1976","7927"
"1975","7615"
"1974","5999"
"1973","6022"
"1972","5430"
"1971","6183"
"1970","5306"
"1969","5052"
"1968","3515"
"1967","4005"
"1966","3164"
"1965","3229"
"1964","2254"
"1963","2086"
"1962","1408"
"1961","1580"
"1960","1322"
"1959","1864"
"1958","1394"
"1957","1355"
"1956","856"
"1955","795"
"1954","447"
"1953","484"
"1952","406"
"1951","497"
"1950","155"
"1949","170"
"1948","189"
"1947","25"
"1946","33"
"1945","17"
"1944","21"
"1943","13"
"1942","17"
"1941","23"
"1940","19"
"1939","38"
"1938","36"
"1937","515"
"1936","35"
"1935","1"
"1934","26"
"1933","316"
"1922","5"
