Scopus-10320085-Analyze-Year

"Your query : (SUBJAREA ((arts OR busi OR deci OR econ OR psyc OR soci) AND NOT ener))"


Number of results : 10320085

"YEAR",
"2020","30707"
"2019","502045"
"2018","538744"
"2017","536913"
"2016","500715"
"2015","477573"
"2014","468906"
"2013","480560"
"2012","454682"
"2011","428722"
"2010","398366"
"2009","368810"
"2008","339233"
"2007","313400"
"2006","283872"
"2005","259245"
"2004","224133"
"2003","218270"
"2002","188055"
"2001","159537"
"2000","143719"
"1999","131321"
"1998","130069"
"1997","123766"
"1996","123567"
"1995","104813"
"1994","100643"
"1993","95436"
"1992","90430"
"1991","86434"
"1990","86160"
"1989","79937"
"1988","76369"
"1987","72367"
"1986","69449"
"1985","66775"
"1984","65605"
"1983","62438"
"1982","60034"
"1981","55623"
"1980","53350"
"1979","51479"
"1978","47993"
"1977","44626"
"1976","42428"
"1975","40674"
"1974","39627"
"1973","36167"
"1972","32184"
"1971","30356"
"1970","28457"
"1969","26919"
"1968","24834"
"1967","22817"
"1966","20865"
"1965","19981"
"1964","18655"
"1963","16952"
"1962","15938"
"1961","15047"
"1960","14395"
"1959","13539"
"1958","12358"
"1957","11475"
"1956","11486"
"1955","11035"
"1954","10425"
"1953","10014"
"1952","9640"
"1951","9760"
"1950","9293"
"1949","8570"
"1948","7975"
"1947","7271"
"1946","7057"
"1945","5946"
"1944","5917"
"1943","6493"
"1942","6755"
"1941","6820"
"1940","5541"
"1939","7842"
"1938","8227"
"1937","8115"
"1936","8159"
"1935","7517"
"1934","7516"
"1933","7511"
"1932","7780"
"1931","7434"
"1930","8182"
"1929","7499"
"1928","7195"
"1927","6994"
"1926","6889"
"1925","6402"
"1924","6588"
"1923","6130"
"1922","6248"
"1921","6652"
"1920","5767"
"1919","3657"
"1918","3871"
"1917","3351"
"1916","5301"
"1915","5824"
"1914","6008"
"1913","6139"
"1912","6243"
"1911","6641"
"1910","6444"
"1909","6473"
"1908","6086"
"1907","5538"
"1906","5894"
"1905","5892"
"1904","5743"
"1903","5706"
"1902","5650"
"1901","5622"
"1900","5694"
"1899","5834"
"1898","5885"
"1897","6374"
"1896","6388"
"1895","5892"
"1894","6229"
"1893","6057"
"1892","3703"
"1891","6222"
"1890","6018"
"1889","6113"
"1888","5949"
"1887","6132"
"1886","5478"
"1885","5451"
"1884","5267"
"1883","5218"
"1882","5572"
"1881","5203"
"1880","3091"
"1879","5401"
"1878","5085"
"1877","5260"
"1876","5853"
"1875","4732"
"1874","5014"
"1873","5310"
"1872","5189"
"1871","2456"
"1870","4762"
"1869","2455"
"1868","4996"
"1867","4590"
"1866","4577"
"1865","4586"
"1864","4611"
"1863","4406"
"1862","4715"
"1861","4213"
